,cov,sleep
0,0.3996571898460388,0.73
1,0.2728404104709625,0.82
2,0.32022354006767273,0.78
3,0.3678649365901947,0.75
4,0.29397261142730713,0.8
5,0.3323862850666046,0.78
6,0.34532392024993896,0.77
7,0.2929864525794983,0.8
8,0.3066049814224243,0.8
9,0.2874685823917389,0.8
10,0.3264223039150238,0.78
11,0.3028481602668762,0.79
12,0.42602550983428955,0.72
13,0.2985277771949768,0.79
14,0.3361196517944336,0.78
15,0.26490408182144165,0.83
16,0.442672997713089,0.71
17,0.32444998621940613,0.79
18,0.34739017486572266,0.76
19,0.3742750585079193,0.75
20,0.36629176139831543,0.75
21,0.30768507719039917,0.79
22,0.33680057525634766,0.79
23,0.3279954791069031,0.78
24,0.37023645639419556,0.76
25,0.3357439637184143,0.79
26,0.35452815890312195,0.76
27,0.3679353892803192,0.75
28,0.34431424736976624,0.77
29,0.36044517159461975,0.76
30,0.3051961660385132,0.79
31,0.3162084221839905,0.79
32,0.3276902437210083,0.78
33,0.3539176881313324,0.76
34,0.40991804003715515,0.72
35,0.3344290852546692,0.78
36,0.3003122806549072,0.8
37,0.37411069869995117,0.75
38,0.37272533774375916,0.74
39,0.4063020944595337,0.71
40,0.42691776156425476,0.71
41,0.3142595589160919,0.78
42,0.34065133333206177,0.76
43,0.27086806297302246,0.82
44,0.4197797477245331,0.72
45,0.3768343925476074,0.74
46,0.3200356960296631,0.79
47,0.4084857702255249,0.73
48,0.3107844889163971,0.79
49,0.36687877774238586,0.75
50,0.968513011932373,0.12
51,0.9757683873176575,0.15
52,0.9832820892333984,0.08
53,0.9874615669250488,0.11
54,0.9695696234703064,0.13
55,0.9528047442436218,0.17
56,0.9836577773094177,0.07
57,0.9723872542381287,0.14
58,0.9827185273170471,0.09
59,0.9797835350036621,0.06
60,0.9737960696220398,0.12
61,0.9620089530944824,0.13
62,0.978186845779419,0.13
63,0.975932776927948,0.11
64,0.9769893884658813,0.13
65,0.9663528203964233,0.13
66,0.9795252084732056,0.1
67,0.9794782400131226,0.12
68,0.9561154246330261,0.14
69,0.9731855392456055,0.11
70,0.9667050242424011,0.1
71,0.9730446934700012,0.1
72,0.9877198338508606,0.12
73,0.9874145984649658,0.07
74,0.9890112280845642,0.08
75,0.9703679084777832,0.15
76,0.979055643081665,0.15
77,0.9878842234611511,0.08
78,0.9872032403945923,0.09
79,0.989504337310791,0.06
80,0.9813331961631775,0.12
81,0.9797600507736206,0.11
82,0.9804174900054932,0.09
83,0.9724811315536499,0.11
84,0.9546361565589905,0.14
85,0.972762942314148,0.11
86,0.9777641892433167,0.11
87,0.9773885011672974,0.11
88,0.9741717576980591,0.12
89,0.981544554233551,0.09
90,0.9768954515457153,0.1
91,0.9880250692367554,0.1
92,0.9661180377006531,0.11
93,0.9660475850105286,0.15
94,0.9804409742355347,0.08
95,0.98964524269104,0.1
96,0.9801826477050781,0.12
97,0.9744535088539124,0.11
98,0.9855126738548279,0.08
99,0.9829298853874207,0.08
